report_id,age,age_group_young,age_group_prime,age_group_mature,age_group_senior,age_squared,age_risk_factor,gender_male,gender_female,gender_unknown,has_email,has_home_phone,has_mobile,has_national_id,has_bvn,has_employer_info,contact_completeness,id_completeness,profile_completeness,num_dependants,has_dependants,high_dependants,other_good_accounts,other_bad_accounts,other_total_accounts,has_other_accounts,other_bad_ratio,retail_good_accounts,retail_bad_accounts,retail_total_accounts,has_retail_accounts,retail_bad_ratio,telecom_good_accounts,telecom_bad_accounts,telecom_total_accounts,has_telecom_accounts,telecom_bad_ratio,auto_good_accounts,auto_bad_accounts,auto_total_accounts,has_auto_accounts,auto_bad_ratio,home_good_accounts,home_bad_accounts,home_total_accounts,has_home_accounts,home_bad_ratio,joint_good_accounts,joint_bad_accounts,joint_total_accounts,has_joint_accounts,joint_bad_ratio,study_good_accounts,study_bad_accounts,study_total_accounts,has_study_accounts,study_bad_ratio,credit_card_good_accounts,credit_card_bad_accounts,credit_card_total_accounts,has_credit_card_accounts,credit_card_bad_ratio,personal_good_accounts,personal_bad_accounts,personal_total_accounts,has_personal_accounts,personal_bad_ratio,total_good_accounts,total_bad_accounts,total_accounts,bad_account_ratio,good_account_ratio,account_performance_score,account_type_diversity,high_risk_account_types,secured_account_types,total_outstanding_debt,amount_in_arrears,total_monthly_payment,total_judgement_amount,total_dishonoured_amount,arrears_to_debt_ratio,debt_service_ratio,judgement_to_debt_ratio,high_debt,medium_debt,low_debt,no_debt,credit_rating,credit_rating_squared,credit_rating_log,low_risk_rating,medium_risk_rating,high_risk_rating,very_high_risk_rating,total_active_accounts,accounts_in_arrears,accounts_in_good_condition,total_judgements,total_dishonoured,arrears_account_ratio,good_condition_ratio,has_judgements,has_dishonoured_payments,has_arrears,multiple_judgements,chronic_dishonoured,months_in_arrears,months_in_arrears_squared,months_in_arrears_log,minor_delinquency,moderate_delinquency,severe_delinquency,chronic_delinquency,delinquency_severity_score,total_enquiries,recent_enquiries_30d,recent_enquiries_90d,recent_enquiries_180d,recent_enquiries_365d,unique_lenders,unique_enquiry_reasons,enquiries_momentum_30_90d,enquiries_momentum_90_180d,enquiries_momentum_180_365d,enquiry_intensity_30d,enquiry_intensity_90d,lender_diversity,credit_hungry_30d,credit_hungry_90d,excessive_enquiries,enquiry_frequency_score,employment_records,employment_stability,job_hopper,employment_diversity,has_employment_history,telephone_records,telephone_stability,frequent_phone_changes,has_telephone_history,phone_stability_score,avg_payment_delay,max_payment_delay,min_payment_delay,std_payment_delay,payment_consistency,perfect_payment_ratio,late_payment_ratio,very_late_payment_ratio,payment_volatility,total_payment_records,has_payment_history,extensive_payment_history,payment_trend,recent_payment_performance,total_credit_agreements,active_agreements,closed_agreements,written_off_agreements,paid_up_agreements,total_current_balance,total_credit_limit,total_overdue_amount,active_agreement_ratio,written_off_ratio,credit_utilization,overdue_to_balance_ratio,has_active_agreements,has_written_off,multiple_written_off,has_overdue_amounts,agreement_type_diversity,has_bank_agreements,has_microfinance_agreements,has_guarantor_info,guarantor_accounts,guaranteed_secured_accounts,is_guarantor,guarantor_risk_exposure,payment_behavior_score,credit_management_score,financial_stability_score,profile_quality_score,credit_seeking_score,overall_risk_score,risk_category,high_risk_flag,very_high_risk_flag,low_risk_flag,creditworthiness_score,experian_style_score,risk_grade
0,33,0,1,0,0,1089,0,1,0,0,0,1,1,0,1,1,2,1,0.6666666666666666,0,0,0,3,0,3,1,0.0,2,0,2,1,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,1,0.0,1,0,1,1,0.0,7,0,7,0.0,1.0,1.0,4,2,0,105435.0,24041.0,77404.0,0.0,0.0,0.22801726182007873,8.809674206857306,0.0,0,1,0,0,13,169,2.6390573296152584,0,1,0,0,7,2,0,0,0,0.2857142857142857,0.0,0,0,1,0,0,13,169,2.6390573296152584,0,0,0,1,0.3065004166412617,15,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0,0,1,0.0,5,0,0,2,1,3,1,0,1,0.25,2.8,36.0,0,8.17801932010435,0,0.74,0.26,0.06,2.1521103473958814,50,1,0,-9.035087719298245,0.6777777777777778,7,3,1,1,0,146825.79,1599179.98,24042.07,0.42857142857142855,0.14285714285714285,0.09181317414941625,0.1637455517862359,1,1,0,1,2,1,0,1,0,0,0,0.0,0.5680000000000001,0.9416373651701168,0.9087930952719685,0.5666666666666667,0.26,0.17313569402949686,Low,0,0,1,0.8268643059705032,754.7753682837767,A
1,39,0,1,0,0,1521,0,0,1,0,0,1,1,1,1,0,2,2,0.6666666666666666,0,0,0,3,0,3,1,0.0,12,0,12,1,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,2,0,2,1,0.0,17,0,17,0.0,1.0,1.0,3,1,0,294770.0,0.0,132176.0,0.0,0.0,0.0,5.3808460833870475,0.0,0,1,0,0,2,4,1.0986122886681098,1,0,0,0,17,1,0,0,0,0.058823529411764705,0.0,0,0,0,0,0,2,4,1.0986122886681098,1,0,0,0,0.04215686274509804,10,0,0,0,0,4,5,0.0,0.0,0.0,0.0,0.0,0.4,0,0,0,0.0,5,0,0,2,1,3,1,0,1,0.25,2.1551724137931036,40.0,0,5.848081690010161,0,0.7758620689655172,0.22413793103448276,0.017241379310344827,1.8534903716972093,58,1,1,-0.43478260869565233,0.9166666666666666,17,4,11,1,1,294770.06,621600.0,0.0,0.23529411764705882,0.058823529411764705,0.47421180823680825,0.0,1,1,0,0,2,1,0,1,0,0,0,0.0,0.5887931034482758,0.8251576383526383,1.0,0.5666666666666667,0.18,0.07530953346855983,Very Low,0,0,1,0.9246904665314402,808.5797565922921,A
2,41,0,1,0,0,1681,0,0,1,0,0,0,1,0,1,0,1,1,0.3333333333333333,0,0,0,1,0,1,1,0.0,1,1,2,1,0.5,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,2,1,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,2,0,0,110919.0,12000.0,7000.0,0.0,0.0,0.10818705541881914,0.757309387931734,0.0,0,1,0,0,109,11881,4.700480365792417,0,0,0,1,3,1,0,0,0,0.3333333333333333,0.0,0,0,1,0,0,109,11881,4.700480365792417,0,0,0,1,0.43245611662564576,10,0,0,0,0,3,4,0.0,0.0,0.0,0.0,0.0,0.3,0,0,0,0.0,5,0,0,1,1,3,1,0,1,0.25,4.12,100.0,0,19.576148753010635,0,0.88,0.12,0.04,3.8234665533223895,25,1,0,-8.583333333333334,0.7138888888888888,3,3,0,0,0,110919.0,1090936.0,12000.0,1.0,0.0,0.10167324206002919,0.10818705541881914,1,0,0,1,2,1,0,1,0,0,0,0.0,0.6108,0.6596653515879942,0.9567251778324724,0.43333333333333335,0.21,0.29942269652629394,Low,0,0,1,0.7005773034737061,685.3175169105384,C
